supplier_sku,name,cost_price,shipping_cost,price_au,price_non_au,compare_at,margin_au_pct,margin_non_au_pct
SKU020,Acne Patch Invisible 72pc,4.0,1.5,9.5,8.5,10.5,26.05,28.86
SKU017,Microfibre Cleaning Cloths 10pk,3.0,1.5,8.0,7.0,9.0,27.1,28.53
SKU028,Laptop Sleeve 15 inch,6.0,2.0,13.5,12.0,15.0,25.62,27.93
SKU027,Blue Light Blocking Glasses,5.0,2.0,12.0,10.5,13.5,26.27,27.58
SKU032,Plant-Based Dish Soap Concentrate,4.0,2.0,10.5,9.0,12.0,27.1,27.1
SKU030,Portable Door Lock Travel,4.5,1.5,10.5,9.0,12.0,27.1,27.1
SKU035,Smart Plug WiFi 2-pack,9.0,3.0,20.0,17.5,22.0,25.6,26.81
SKU018,Cable Management Box,6.0,2.5,14.5,12.5,16.0,26.41,26.7
SKU016,Portable Blender USB,11.0,3.5,24.0,21.0,26.5,25.43,26.62
SKU019,Wooden Desk Organiser,10.5,4.0,24.0,21.0,26.5,25.43,26.62
